file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResColorValue.java,brut.androlib.res.data.value.ResColorValue,class,1,2,1,1,2,5,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,2,0,0,0,0,0,0,0,0,8,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\aapt1\DefaultBaksmaliVariableTest.java,brut.androlib.aapt1.DefaultBaksmaliVariableTest,class,11,12,1,11,3,2,0,11,3,0.0,0.0,0.0,3,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,26,0,0,0,0,0,57,0,10,2,6,0,0,0,0,57,1,3
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResStringValue.java,brut.androlib.res.data.value.ResStringValue,class,5,8,3,5,12,4,0,10,28,0.875,0.0,0.0,8,0,5,1,2,0,7,0,0,0,1,1,0,1,0,0,1,0,6,32,5,0,1,0,0,5,0,1,1,1,1,0,0,0,34,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\apk\VersionInfo.java,brut.androlib.apk.VersionInfo,class,4,5,1,4,4,1,0,4,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,23,0,0,0,0,0,4,0,3,0,3,1,0,0,0,16,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\aapt1\ProviderAttributeTest.java,brut.androlib.aapt1.ProviderAttributeTest,class,11,12,1,11,4,2,0,18,6,0.0,0.0,0.0,4,2,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,35,1,0,0,0,0,16,0,13,9,9,0,0,0,0,56,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\decode\ForceManifestDecodeNoResourcesTest.java,brut.androlib.decode.ForceManifestDecodeNoResourcesTest,class,10,11,1,10,7,2,0,13,9,0.42857143,0.0,0.0,7,2,6,1,0,0,6,0,0,0,1,0,0,1,0,0,1,0,8,59,0,0,0,0,0,17,10,27,16,23,0,0,0,0,52,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\aapt2\DebuggableTrueRetainedTest.java,brut.androlib.aapt2.DebuggableTrueRetainedTest,class,11,12,1,11,4,2,0,17,6,0.0,0.0,0.0,4,2,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,36,0,0,0,0,0,13,0,13,2,7,0,0,0,0,56,1,3
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\arsc\ARSCHeader.java,brut.androlib.res.data.arsc.ARSCHeader,class,4,6,2,4,7,1,0,11,0,0.7019231,0.0,0.0,4,1,4,0,0,0,4,0,0,0,26,21,25,1,0,0,26,0,3,64,2,0,0,1,0,2,24,32,4,32,2,0,0,0,75,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResIdValue.java,brut.androlib.res.data.value.ResIdValue,class,6,7,1,6,1,2,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,14,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\exceptions\CantFindFrameworkResException.java,brut.androlib.exceptions.CantFindFrameworkResException,class,2,5,3,2,3,3,0,2,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,12,2,0,0,0,0,1,0,1,0,1,0,0,0,0,16,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResFileValue.java,brut.androlib.res.data.value.ResFileValue,class,2,6,4,2,6,3,0,2,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,19,3,0,0,0,0,4,2,1,1,1,1,0,0,0,20,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResArrayValue.java,brut.androlib.res.data.value.ResArrayValue,class,9,13,4,9,18,3,0,15,6,0.75,0.0,0.0,4,0,3,0,0,1,4,0,0,0,2,0,0,2,0,0,2,0,1,60,8,4,2,0,1,18,3,8,2,5,2,0,0,0,29,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\exceptions\CantFind9PatchChunkException.java,brut.androlib.exceptions.CantFind9PatchChunkException,class,1,2,1,1,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResBagValue.java,brut.androlib.res.data.value.ResBagValue,class,11,17,6,11,6,2,4,11,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,1,0,1,0,0,28,4,0,0,0,0,7,3,2,0,2,1,0,0,0,22,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\decoder\ARSCDecoder.java,brut.androlib.res.decoder.ARSCDecoder,class,29,32,3,29,114,1,0,94,325,0.9615384,0.0,0.0,26,2,2,24,0,0,2,0,0,0,25,10,0,25,0,0,16,0,18,529,19,9,25,2,23,24,117,180,31,128,3,0,0,0,227,1,1
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\AaptInvoker.java,brut.androlib.AaptInvoker,class,4,6,2,4,72,1,0,35,1,0.47619048,0.0,0.0,7,0,2,5,0,0,2,0,0,0,3,1,0,3,0,0,3,0,4,285,7,5,31,6,0,69,6,18,1,15,2,0,0,0,76,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\aapt2\DebuggableTrueAddedTest.java,brut.androlib.aapt2.DebuggableTrueAddedTest,class,11,12,1,11,4,2,0,17,6,0.0,0.0,0.0,4,2,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,36,0,0,0,0,0,13,0,13,2,7,0,0,0,0,57,1,3
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Apktool\brut.apktool\apktool-lib\src\test\java\brut\androlib\decode\EmptyArscTest.java,brut.androlib.decode.EmptyArscTest,class,8,9,1,8,3,2,0,7,3,0.0,0.0,0.0,3,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,6,0,7,3,5,0,0,0,0,31,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\axml\NamespaceStack.java,brut.androlib.res.data.axml.NamespaceStack,class,2,4,2,2,37,1,0,5,0,0.37777779,0.0,0.0,15,0,12,3,0,0,12,0,0,0,3,0,0,3,0,0,0,0,1,151,21,4,15,0,7,0,70,50,29,23,4,0,0,0,77,17,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResPluralsValue.java,brut.androlib.res.data.value.ResPluralsValue,class,9,11,2,9,5,3,0,8,1,0.5,0.0,0.0,2,0,1,0,0,1,2,0,0,0,3,2,1,2,0,0,3,0,1,27,0,2,1,0,0,12,3,6,1,5,2,0,0,0,41,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResFlagsAttr.java,brut.androlib.res.data.value.ResFlagsAttr,class,12,14,2,12,25,4,0,26,15,0.8333333,0.0,0.0,6,0,1,3,1,1,3,0,0,0,4,1,0,4,0,0,2,0,10,91,9,6,7,0,4,7,8,21,0,18,2,0,0,1,59,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\value\ResStyleValue.java,brut.androlib.res.data.value.ResStyleValue,class,12,15,3,12,14,3,0,28,1,0.5,0.0,0.0,2,0,1,0,0,1,2,0,0,0,2,1,0,2,0,0,2,0,2,59,0,2,4,0,0,11,2,13,1,9,2,0,0,0,44,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\res\data\ninepatch\OpticalInset.java,brut.androlib.res.data.ninepatch.OpticalInset,class,2,4,2,2,2,1,0,2,0,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,4,16,1,0,0,0,0,0,0,8,0,8,0,0,0,0,16,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\exceptions\AXmlDecodingException.java,brut.androlib.exceptions.AXmlDecodingException,class,1,2,1,1,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\BackgroundWorker.java,brut.androlib.BackgroundWorker,class,2,5,3,2,11,1,0,8,0,0.5,0.0,0.0,8,0,7,1,0,0,7,0,0,0,3,0,0,3,0,0,2,0,1,47,2,1,0,1,0,1,0,7,0,4,2,0,0,0,32,1,0
d:\Repositorios\lab-experimentacao-software-02\scripts\repos\Apktool\brut.apktool\apktool-lib\src\main\java\brut\androlib\exceptions\AndrolibException.java,brut.androlib.exceptions.AndrolibException,class,1,33,32,1,4,2,7,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
